Title,Year,Director,Stars
Fast Color,2019,Julia Hart,"Gugu Mbatha-Raw, Lorraine Toussaint,Saniyya Sidney, David Strathairn"
Black Dynamite,2009,"Shawn Maurer, Scott Sanders",
Keanu,2016,Peter Atencio,"Keegan-Michael Key, Jordan Reele, TiffanyHaddish, Method Man"
George Washington,2000,David Gordon Greeen,"Donald Holden, Candace Evanofski, Curtis Cotton II, Eddie Rouse"
Ghost Dog- The Way of the Samaurai,2000,Jim Jarmusch,"Forest Whitaker, John Tormey, Henry Silva, Cliff Gorman"
Get On Up,2014,Tate Taylor,"Chadwick Boseman, Viola Davis, Octavia Spencer, Nelsan Ellis"
Monsters and Men,2018,Reinaldo Marcus Green,"John David Washington,Chante Adams, Rob Morgan"
Jingle Jangle,2020,Davis E. Talbert,"Forest Whitaker, Hugh Bonneville, Keegan-Michael Key, Phylicia Rashad"
Selah and the Spades,2020,Tayarisha Poe,"Lovie Simone,Jharrel Jerome,Gina Torres, Jesse Williams"
Our Song,2001,Jim McKay,"Kerry Washington, Anna SImpson, Melissa Martinez, Marlene Forte"
Burning Cane,2019,Phillip Youmans," Wendell Pierce, Karen Kaia Livers, Dominique McClellan "
Uncorked,2020,Prentice Penny," Courtney B. Vance, Lashun Pollard, Michael Mobley"
Madeline's Madeline,2018,Josephine Decker,"Helena Howard, Molly Parker, Miranda July "
God Grew Tired of us,2007,Christopher Dillon Quinn,"Nicole Kidman, John Bul Dau, Panther Bior, Daniel Abul Pach"
Premature,2020,Rashaad Ernesto Green," Imani Lewis, Jimmy Lee Gary Jr., Meeya Davis, Ozzie Stewart"
Sylvies Love,2020,Eugene Ash,"Tessa Thompson, Nnamdi Asomugha, Eva Longoria, Aja Naomi King"
Luce,2019,Julius Onah,"Naomi Watts, Octavia Spencer, Kelvin Harrison Jr., Tim Roth"
Good Hair,2009,Jeff Silson,Chris Rock
Support the Girls,2018,Andrew Bujaski,"Regina Hall, Haley Lu Richardson, Shayna McHayle, Brooklyn Decker"
It Comes at Night,2017,Trey Edward Shults,"Joel Edgerton, Riley Keough, Christopher Abbott, Carmen Ejogo"
Night Comes On,2018,Jordana Spiro," Jill Rene, Nastashia Fuller, John Earl Jelks"
Farwell Armor,2020,Ekwa Msangi,"Ntare Guma Mbaho Mwine, Zainab Jah, Jayme Lawson "
The Last Black Man in San Francisco,2019,Joe Talbot," Jimmie Fails, Jonathan Majors, Tichina Arnold, Rob Morgan"
Tangerine,2015,Sean Baker (II),"itana Kiki Rodriguez, James Ransone, Mya Taylor, Alla Tumanian"
40 Year. Old Version,2020,Radha Blank,"Welker White, Reed Birney, Peggy J. Scott, Peter Kim"
Miss Junteenth,2020,Channing Godfrey Peoples,"Nicole Beharie, Kendrick Sampson, Alexis Chikaeze, Lori Hayes"
Dolemite is My Name,2019,Craig Brewer,"Eddie Murphy, Wesley Snipes, Keegan-Michael Key, Mike Epps"
Widows,2018,Steve McQueen,"Viola Davis, Michelle Rodriguez, Elizabeth Debicki, Cynthia Erivo"
Soul,2020,Pete Docter,"Jamie Foxx, Daveed Diggs, John Ratzenberger, Tina Fey"
Spiderman: Int the Spider-Verse,2018,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson (XVI), Hailee Steinfeld, Mahershala Ali"
Ma Rainey's Black Bottom,2020,George C. Wolfe," Chadwick Boseman, Viola Davis, Glynn Turman, Jeremy Shamos"
One Night in Miami,2020,Regina King,"Kingsley Ben-Adir, Eli Goree, Aldis Hodge, Leslie Odom Jr."