Director,Title,Year,Budget,Worldwide,Studio,Genre,Domestic,Foreign,Domestic %,Foreign%,Stars
Spike Lee,She's Gotta Have It,1986,"$175,000","$7,137,502",,Romance,"$7,137,502",-,100%,-,"Tracy Camilla Johns, Tommy Redmond Hicks, John Canada Terrell"
Adam Leon,Gimme the Loot,2012,,"$116,783",IFC Films,Drama,"$104,442","$12,341",89.40%,11%,"Ty hickson, Tashiana Washington, Joshua Rivera"
Alan J Pakula,The Pelican Brief,1993,,"$195,268,056",,Drama,"$100,768,056","$94,500,000",52%,48%,"Julia Roberts, Denzel Washington"
Alan Metter,Moving,1988,,"$10,815,378",,Comedy,"$10,815,378",-,100%,-,"Richard Pryor, Beverly Todd, Stacey Dash"
"Albert Hughes, Allen Hughes",Menace II Society,1993,,"$27,912,072",,Action,"$27,912,072",-,100%,0%,"Larenz Tate, Tyrin Turner, Charles S. Dutton"
"Albert Hughes, Allen Hughes",Dead Presidents,1995,,"$24,147,179",Walt Disney Motion Pictures,Drama,"$24,147,179",$0,100%,0%,"Larenz Tate, Keith David, Chris Tucker"
Albert Magnoli,Purple Rain,1984,,"$68,392,977",,Romance,"$68,392,977",-,100%,-,"Prince, Apollonia Kotero, Morris Day"
Alexandra Moors,Blue Caprice,2013,,"$93,995",IFC Films,Drama,"$93,995",$0,100%,0%,
Amma Asante,Belle,2014,,"$16,607,575",Fox Searchlight Pictures,Drama,"$10,726,630","$5,880,945",64.60%,35%,"Gugu Mbatha-Raw, Matthew Goode"
Amman Abasi,Dayveon,2017,,"$2,077",FilmRise,Drama,"$2,077",$0,100%,0%,
Andrew Bujaski,Support the Girls,2018,,,,Comedy,,,,,"Regina Hall, Haley Lu Richardson, Shayna McHayle, Brooklyn Decker"
Andrew Bujaski,Support the Girls,2018,,,,Drama,,,,,"Regina Hall, Haley Lu Richardson, Shayna McHayle, Brooklyn Decker"
Andrew P. Jones,Kings of the Evening,2008,,"$99,270",Indican Pictures,Drama,"$99,270",$0,100%,0%,"Tyson Beckford, Lynn Whitfield, Glynn Turman"
Anthony Drazan,Zebrahead,1992,,"$1,557,771",,Romance,"$1,557,771",-,100%,0%,"Michael Rapaport, DeShonn Castle, Kevin Corrigan"
Antoine Fuqua,Training Day,2001,,"$104,876,233",Warner Bros,Drama,"$76,631,907","$28,244,326",73.10%,27%,"DenzelWashington, Ethan Hawke, Scott Glen"
Arthur Hiller,"See No Evil, Hear No Evil",1989,,"$46,908,987",,Action,"$46,908,987",-,100%,-,"Richard Pryor, Gene Wilder, Joan Severance"
Arthur Hiller,"See No Evil, Hear No Evil",1989,,"$46,908,987",,Comedy,"$46,908,987",-,100%,-,"Richard Pryor, Gene Wilder, Joan Severance"
Arthur Marks,Detroit 9000,1973,,"$3,179",,Action,"$3,179",-,100%,-,"Hari Rhodes, Alex Rocco, Vonetta McGee"
Arthur Marks,Detroit 9000,1973,,"$3,179",,Blaxploitation,"$3,179",-,100%,-,"Hari Rhodes, Alex Rocco, Vonetta McGee"
Arthur Marks,Detroit 9000,1973,,"$3,179",,Drama,"$3,179",-,100%,-,"Hari Rhodes, Alex Rocco, Vonetta McGee"
Ava DuVernay,I Will Follow,2010,,"$135,809",AFFRM,Drama,"$135,809",$0,100%,0%," Salli Richardson-Whitfield, Omari Hardwick, Michole Briana White "
Ava DuVernay,A Wrinkle in Time,2018,,"$132,675,864",Walt Disney Motion Pictures,Family,"$100,478,608","$32,197,256",75.70%,24%,"Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling"
Barry Jenkins,If Beale Street Could Talk,2018,,"$20,596,567",Annapurna Pictures,Drama,"$14,915,773","$5,680,794",72.40%,28%,"Kiki Layne, Stephan James, Regina King, Teyonah Parris"
Barry Jenkins,Medicine for Melancholy,2008,,"$111,551",IFC Films,Romance,"$111,551",$0,100%,0%,"Wyatt Cenac, Tracey Heggins, Elizabeth Acker"
Benh Zeitlin,Beasts of the Southern Wild,2012,,"$21,107,746",Fox Searchlight Pictures,Drama,"$12,795,746","$8,312,000",60.60%,39%,"Quvenzhane Wallis, Dwight Henry, Levy Easterly"
Bill Condon,Dreamgirls,2006,,"$155,430,335",DreamWorks Distribution,Drama,"$103,365,956","$52,064,379",66.50%,34%,"Beyonce Knowles, Jamie Foxx, Eddie Murphy"
Bill Gunn,Ganja and Hess,1973,,"$21,197",,Drama,"$21,197",-,100%,-,"Duane Jones, Marlene Clark, Bill Gunn"
Bille Woodruff,Beauty Shop,2005,,"$37,245,453",MGM,Comedy,"$36,351,350","$894,103",97.60%,2%,"Queen Latifah, Alicia Silverstone, Djimon Hounsou"
Biyi Bandele,Half of a Yellow Sun,2013,,"$306,393",Monterrey Media,Drama,"$54,529","$251,864",17.80%,82%,"Chiwetel Ejiofor, Thandiwe Newton, Anika Noni Rose "
Boots Riley,Sorry to Bother You,2018,,"$18,170,707",Annapurna Pictures,Comedy,"$17,493,096","$677,611",96.30%,4%,Lakeith Stanfield
Brett Leonard,Virtuosity,1995,,"$24,047,675",Paramount Pictures,Action,"$24,047,675",$0,100%,0%,"Denzel Washington, Russell Crowe, Kelly Lynch"
Brian Robbins,Good Burger,1997,,"$23,712,993",Paramount Pictures,Comedy,"$23,712,993",$0,100%,0%,"Kel Mitchell, Kenan Thompson, Sinbad"
Brian Robbins,Meet Dave,2008,,"$51,339,567",Twentieth Century Fox,Comedy,"$11,803,254","$39,536,313",23%,77%,"Eddie Murphy, Elizabeth Banks, Gabrielle Union"
Brian Robbins,A Thousand Words,2012,,"$22,044,277",DreamWorks Distribution,Comedy,"$18,450,127","$3,594,150",83.70%,16%,"Eddie Murphy, Cliff Curtis, Kerry Washington"
Brian Robbins,A Thousand Words,2012,,"$22,044,277",DreamWorks Distribution,Drama,"$18,450,127","$3,594,150",83.70%,16%,"Eddie Murphy, Cliff Curtis, Kerry Washington"
Brian Robbins,Good Burger,1997,,"$23,712,993",Paramount Pictures,Family,"$23,712,993",$0,100%,0%,"Kel Mitchell, Kenan Thompson, Sinbad"
Brian Welsh,Beats,2019,,"$319,595",Music Box Films,Drama,-,"$319,595",-,100%,
Bruce Beresford,Driving Miss Daisy,1989,,"$145,973,296",,Comedy,"$106,593,296","$39,200,000",73%,27%,"Morgan Freeman, Jessica Tandy, Dan Aykroyd"
Bruce Beresford,Driving Miss Daisy,1989,,"$145,973,296",,Drama,"$106,593,296","$39,200,000",73%,27%,"Morgan Freeman, Jessica Tandy, Dan Aykroyd"
Bryan Barber,Idlewild,2006,,"$12,643,027",Universal Pictures,Drama,"$12,571,185","$71,842",99.40%,1%,"Big Boi, Terrence Howard, Andr√© Benjamin"
Carl Schenkel,The Mighty Quinn,1989,,"$4,557,214",,Action,"$4,557,214",-,100%,-,"Denzel Washington, Robert Townsend, James Fox"
Carlos Lopez Estrada,Blindspotting,2018,,"$5,006,989",Lionsgate,Drama,"$4,333,394","$673,595",86.50%,14%,"Daveed Diggs, Rafael Casal"
Cary Fukunaga,Beasts of No Nation,2015,,"$90,777",Bleeker Street Media,Drama,"$90,777",$0,100%,0%,"Idris Elba, Abraham Attah"
Charles Burnett,Killer of Sheep,1978,,"$416,509",,Drama,"$404,508","$12,001",97.10%,3%,"Henry G. Sanders, Kaycee Moore, Charles Bracy"
Charles Lane,True Identity,1991,,"$4,693,236",,Comedy,"$4,693,236",-,100%,-,"Lenny Henry, Frank Langella, Charles Lane"
Charles Randolph-Wright,Preaching to the Choir,2005,,"$405,191",Freestlye Releasing,Comedy,"$405,191",$0,100%,0%,"Billoah Greene, Darien Sills-Evans, Novella Nelson"
Charles Stone III,Mr. 3000,2004,,"$21,839,377",Walt Disney Motion Pictures,Comedy,"$21,811,187","$28,190",99.90%,0%,"Bernie Mac, Angela Bassett, Michael Rispoli"
Charles Stone III,Mr. 3000,2004,,"$21,839,377",Walt Disney Motion Pictures,Romance,"$21,811,187","$28,190",99.90%,0%,"Bernie Mac, Angela Bassett, Michael Rispoli"
Chi Muoi Lo,Catfish in Black Bean Sauce,1999,,"$1,319,592",Iron,Comedy,"$1,319,592",$0,100%,0%,"Chi Muoi Lo, Sanaa Lathan, Paul Winfield"
Chi Muoi Lo,Catfish in Black Bean Sauce,1999,,"$1,319,592",Iron,Drama,"$1,319,592",$0,100%,0%,"Chi Muoi Lo, Sanaa Lathan, Paul Winfield"
Chinonye Chukwu,Clemency,2019,,"$364,952",Neon,Drama,"$364,716",$236,99.90%,0%,Alfre Woodard
Chris Eska,The Retrieval,2013,,"$50,257",Variance Films,Drama,"$50,257",$0,100%,0%,
Christopher Scott Cherot,Hav Plenty,1997,,"$2,284,034",Miramax,Comedy,"$2,284,034",$0,100%,0%,"Christopher Scott Cherot, Chenoa Maxwell, Tammi Katherine Jones"
Clint Eastwood,Bird,1988,,"$2,181,286",,Drama,"$2,181,286",-,100%,-,"Forest Whitaker, Diane Venora, Michael Zelniker"
Corey Grant,Dysfunctional Friends,2012,,"$13,546",Datari Turner Productions,Comedy,"$13,546",$0,100%,0%,"Stacey Dash, Reagan Gomez-Preston, Wesley Jonathan"
Daisy von Scherler Mayer,Woo,1998,,"$8,165,984",New Line Cinema,Comedy,"$8,064,972","$101,012",98.80%,1%,"Jada Pinkett Smith, Tommy Davidson, Duane Martin"
Daisy von Scherler Mayer,Woo,1998,,"$8,165,984",New Line Cinema,Romance,"$8,064,972","$101,012",98.80%,1%,"Jada Pinkett Smith, Tommy Davidson, Duane Martin"
Darin Scott,Caught Up,1998,,"$6,754,958",Live,Drama,"$6,754,958",$0,100%,0%,"Bokeem Woodbine, Cynda Williams, Damon Saleem"
Dave Meyers,Foolish,1999,,"$6,033,999",Artisan Entertainment,Comedy,"$6,033,999",$0,100%,0%,"Eddie Griffin, Master P, Amie Petersen"
David C. Johnson,Drop Squad,1994,,"$734,693",Gramercy Pictures,Drama,"$734,693",-,100%,0%,"Eriq La Salle, Vondie Curtis-Hall, Ving Rhames"
David E. Talbert,Baggage Claim,2013,,"$22,871,096",Fox Searchlight Pictures,Romance,"$21,569,509","$1,301,587",94.30%,6%,Taye Diggs
David Gordon Greeen,George Washington,2000,,,,Drama,,,,,"Donald Holden, Candace Evanofski, Curtis Cotton II, Eddie Rouse"
David M. Rosenthal,Jacob's Ladder,2019,,,,Drama,,$0,100%,0%," Michael Ealy, Jesse Williams, Nicole Beharie"
David Raynr,Trippin',1999,,"$9,017,070",October Films,Comedy,"$9,017,070",$0,100%,0%,"Deon Richmond, Donald Faison, Guy Torry"
Dee Rees,Pariah,2011,,"$769,552",Focus Features,Drama,"$769,552",$0,100%,0%,
Dee Rees,Mudbound,2017,,"$85,955",Armory Films,Drama,-,"$85,955",-,100%," Jason Mitchell, Carey Mulligan, Jason Clarke "
Denzel Washington,The Great Debaters,2007,,"$30,236,407",MGM,Drama,"$30,236,407",$0,100%,0%,"Denzel Washington, Forest Whitaker, Nate Parker"
Deon Taylor,Meet the Blacks,2016,,"$9,097,072",Freestyle Releasing,Comedy,"$9,097,072",$0,100%,0%,Mike Epps
Don Cheadle,Miles Ahead,2015,,"$3,473,958",Sony Pictures Entertainment,Drama,"$2,610,896","$863,062",75.20%,25%,"Don Cheadle, Emayatzy Corinealdi, Ewan McGregor, Michael Stuhlbarg"
Donald Petrie,The Associate,1996,,"$12,844,057",Walt Disney Motion Pictures,Comedy,"$12,844,057",$0,100%,0%,"Whoopi Goldberg, Dianne Wiest, Eli Wallach"
Doug Ellin,Phat Beach,1996,,"$1,383,553",Orion Pictures,Comedy,"$1,383,553",$0,100%,0%,"Jermaine ‚ÄòHuggy‚Äô Hopkins, Brian Hooks, Claudia Kaleem"
Doug McHenry,Jason's Lyric,1994,,"$20,851,521",,Drama,"$20,851,521",-,100%,-,"Allen Payne, Jada Pinkett Smith, Bokeem Woodbine"
Eddie Murphy,Harlem Nights,1989,,"$60,864,870",,Comedy,"$60,864,870",-,100%,-,"Eddie Murphy, Richard Pryor, Redd Foxx"
Eddie Murphy,Harlem Nights,1989,,"$60,864,870",,Drama,"$60,864,870",-,100%,-,"Eddie Murphy, Richard Pryor, Redd Foxx"
Edward Zwick,Courage Under Fire,1996,,"$100,860,818",Twentieth Century Fox,Drama,"$59,031,057","$41,829,761",59%,41%,"Denzel Washington, Meg Ryan, Lou Diamond Phillips"
Emile Ardolino,Sister Act,1992,,"$231,605,150",,Comedy,"$139,605,150","$92,000,001",60%,40%,"Whoopi Goldberg, Maggie Smith, Kathy Najimy"
Emile Ardolino,Sister Act,1992,,"$231,605,150",,Family,"$139,605,150","$92,000,000",60%,40%,"Whoopi Goldberg, Maggie Smith, Kathy Najimy"
Eric Meza,House Party 3,1994,,"$19,281,235",New Line Cinema,Comedy,"$19,281,235",-,100%,0%,"Christopher Reid, Christopher Martin, David Edwards"
Eric Meza,House Party 3,1994,,"$19,281,235",New Line Cinema,Romance,"$19,281,235",-,100%,0%,"Christopher Reid, Christopher Martin, David Edwards"
Ernest R. Dickerson,Surviving the Game,1994,,"$7,727,256",,Action,"$7,727,256",-,100%,-,"Rutger Hauer, Ice-T, Charles S. Dutton"
Ernest R. Dickerson,Juice,1992,,"$20,146,880",,Drama,"$20,146,880",-,100%,-,"Omar Epps, Tupac Shakur, Jermaine ‚ÄòHuggy‚Äô Hopkins"
F. Gary Gray,Friday,1995,,"$28,215,918",Sony Pictures Entertainment,Comedy,"$27,467,564","$748,354",97%,3%,"Ice Cube, Chris Tucker, Nia Long"
F. Gary Gray,Friday,1995,,"$28,215,918",Sony Pictures Entertainment,Drama,"$27,467,564","$748,354",97%,3%,"Ice Cube, Chris Tucker, Nia Long"
Fernando Meiressles,City of God,2002,,"$30,641,770",Miramax,Action,"$7,564,459","$23,077,311",24.70%,75%,"Alexandre Rodrigues, Matheus Nachtergaele, Leandro Firmino"
Forest Whitaker,Waiting to Exhale,1995,,"$81,452,156",Twentieth Century Fox,Comedy,"$67,052,156","$14,400,000",82%,18%,"Whitney Houston, Angela Bassett, Loretta Devine"
Forest Whitaker,Waiting to Exhale,1995,,"$81,452,156",Twentieth Century Fox,Romance,"$67,052,156","$14,400,000",82%,18%,"Whitney Houston, Angela Bassett, Loretta Devine"
Fred Durst,The Longshots,2008,,"$11,767,866",MGM,Comedy,"$11,537,046","$230,820",98%,2%,"Ice Cube, Keke Palmer, Tasha Smith"
Fred Savage,Daddy Day Camp,2007,,"$18,197,398",Revolution Studios,Comedy,"$13,235,267","$4,962,131",72.70%,27%,"Cuba Gooding Jr., Lochlyn Munro, Richard Gant"
Fred Savage,Daddy Day Camp,2007,,"$18,197,398",Revolution Studios,Family,"$13,235,267","$4,962,131",72.70%,27%,"Cuba Gooding Jr., Lochlyn Munro, Richard Gant"
Gary Hardwick,Deliver Us from Eva,2003,,"$17,573,594",Focus Features,Comedy,"$17,573,594",$0,100%,0%,"Gabrielle Union, LL Cool J, Essence Atkins"
Gary Hardwick,Deliver Us from Eva,2003,,"$17,573,594",Focus Features,Drama,"$17,573,594",$0,100%,0%,"Gabrielle Union, LL Cool J, Essence Atkins"
Gary Hardwick,Deliver Us from Eva,2003,,"$17,573,594",Focus Features,Romance,"$17,573,594",$0,100%,0%,"Gabrielle Union, LL Cool J, Essence Atkins"
"George Jackson, Doug McHenry",House Party 2,1991,,"$19,438,638",,Comedy,"$19,438,638",-,100%,-,"Christopher Reid, Christopher Martin, Martin Lawrence"
"George Jackson, Doug McHenry",House Party 2,1991,,"$19,438,638",,Drama,"$19,438,638",-,100%,-,"Christopher Reid, Christopher Martin, Martin Lawrence"
Gina Prince-Bythewood,Beyond the Lights,2014,,"$14,618,727",Relativity media,Romance,"$14,618,727",$0,100%,0%,"Gugu Mbatha-Raw, Nate Parker, Minnie Driver "
Gus Van Sant,Finding Forrester,2000,,"$80,049,764",Sony Pictures Entertainment,Drama,"$51,804,714","$28,245,050",64.70%,35%,"Sean Connery, Rob Brown, F. Murray Abraham"
Hype Williams,Belly,1998,,"$9,639,390",Artisan Entertainment,Drama,"$9,639,390",$0,100%,0%,"Nas, DMX, Taral Hicks"
Ice Cube,The Players Club,1998,,"$23,261,485",New Line Cinema,Comedy,"$23,047,939","$213,546",99.10%,1%,"LisaRaye, Dick Anthony Williams, Judyann Elder"
Isaac Florentine,Undisputed 3: Redemption,2010,,"$282,548",,Action,-,"$282,548",-,100%,"Scott Adkins, Mykel Shannon Jenkins, Mark Ivanir"
Jack Arnold,Boss,1975,,"$594,283",,Action,-,"$594,283",-,100%,"Fred Williamson, D‚ÄôUrville Martin, William Smith"
Jack Arnold,Boss,1975,,"$594,283",,Blaxploitation,-,"$594,283",-,100%,"Fred Williamson, D‚ÄôUrville Martin, William Smith"
Jack Starrett,Slaughter,1972,,"$48,968",,Action,-,"$48,968",-,100%,"Jim Brown, Stella Stevens, Rip Torn"
Jack Starrett,Slaughter,1972,,"$48,968",,Blaxploitation,-,"$48,968",-,100%,"Jim Brown, Stella Stevens, Rip Torn"
Jake Goldberger,Life of a King,2013,,"$44,161",Millenium Entertainment,Drama,"$6,547","$37,614",14.80%,85%," Cuba Gooding Jr., Dennis Haysbert, George Dick "
Jamal Hill,Brotherly Love,2015,,"$478,595",Freestyle Releasing,Drama,"$478,595",$0,100%,0%,Keke Palmer
James D. Parriott,Heart Condition,1990,,"$4,134,992",,Action,"$4,134,992",-,100%,-,"Bob Hoskins, Denzel Washington, Chloe Webb"
James D. Parriott,Heart Condition,1990,,"$4,134,992",,Comedy,"$4,134,992",-,100%,-,"Bob Hoskins, Denzel Washington, Chloe Webb"
James D. Parriott,Heart Condition,1990,,"$4,134,992",,Drama,"$4,134,992",-,100%,-,"Bob Hoskins, Denzel Washington, Chloe Webb"
James Gartner,Glory Road,2006,,"$42,938,449",Walt Disney Motion Pictures,Comedy,"$42,647,449","$291,000",99.30%,1%,"Josh Lucas, Derek Luke, Austin Nichols"
James Gartner,Glory Road,2006,,"$42,938,449",Walt Disney Motion Pictures,Drama,"$42,647,449","$291,000",99.30%,1%,"Josh Lucas, Derek Luke, Austin Nichols"
Jamie Uys,The Gods Must Be Crazy,1980,,"$30,031,783",,Action,"$30,031,783",-,100%,-,"N!xau, Marius Weyers, Sandra Prinsloo"
Jamie Uys,The Gods Must Be Crazy,1980,,"$30,031,783",,Comedy,"$30,031,783",-,100%,-,"N!xau, Marius Weyers, Sandra Prinsloo"
Jeff Nichols,Loving,2016,,"$12,957,265",Focus Features,Romance,"$7,751,969","$5,205,296",59.80%,40%,
Jeff Pollack,Booty Call,1997,,"$20,050,376",Sony Pictures Entertainment,Comedy,"$20,050,376",$0,100%,0%,"Jamie Foxx, Tommy Davidson, Vivica A. Fox"
Jeff Pollack,Above the Rim,1994,,"$16,192,320",,Drama,"$16,192,320",-,100%,0%,"Duane Martin, Tupac Shakur, Leon"
Jeff Silson,Good Hair,2009,,,,Comedy,,,,,Chris Rock
Jerrold Freedman,Native Son,2019,,"$1,301,121",Cinecom Pictures,Drama,"$1,301,121",$0,100%,0%,
Jesse Vaughan,Juwanna Mann,2002,,"$13,802,599",Warner Bros,Comedy,"$13,670,733","$131,866",99%,1%,"Miguel A. N√∫√±ez Jr., Christopher Simmons, Vivica A. Fox"
Jesse Vaughan,Juwanna Mann,2002,,"$13,802,599",Warner Bros,Drama,"$13,670,733","$131,866",99%,1%,"Miguel A. N√∫√±ez Jr., Christopher Simmons, Vivica A. Fox"
Jesse Vaughan,Juwanna Mann,2002,,"$13,802,599",Warner Bros,Romance,"$13,670,733","$131,866",99%,1%,"Miguel A. N√∫√±ez Jr., Christopher Simmons, Vivica A. Fox"
Jessie Nelson,"Corrina, Corrina",1994,,"$20,164,171",Universal Pictures,Comedy,"$20,164,171",-,100%,0%,"Ray Liotta, Whoopi Goldberg, Tina Majorino"
Jessie Nelson,"Corrina, Corrina",1994,,"$20,164,171",New Line Cinema,Drama,"$20,164,171",-,100%,0%,"Ray Liotta, Whoopi Goldberg, Tina Majorino"
Jessie Nelson,"Corrina, Corrina",1994,,"$20,164,171",Universal Pictures,Romance,"$20,164,171",-,100%,0%,"Ray Liotta, Whoopi Goldberg, Tina Majorino"
Jim Kouf,Gang Related,1997,,"$5,906,773",MGM,Action,"$5,906,773",$0,100%,0%,"Tupac Shakur, James Belushi, Dennis Quaid"
Joe Pytka,Space Jam,1996,,"$230,418,342",Warner Bros,Comedy,"$90,418,342","$140,000,000",39%,61%,"Michael Jordan, Wayne Knight, Theresa Randle"
Joe Pytka,Space Jam,1996,,"$230,418,342",Warner Bros,Family,"$90,418,342","$140,000,000",39%,61%,"Michael Jordan, Wayne Knight, Theresa Randle"
Joe Talbot,The Last Black Man in San Francisco,2019,,,,Drama,,,,," Jimmie Fails, Jonathan Majors, Tichina Arnold, Rob Morgan"
Joel Schumacher,A Time to Kill,1996,,"$152,266,007",Warner Bros,Drama,"$108,766,007","$43,500,000",71%,29%,"Samuel L. Jackson, Matthew McConaughey, Sandra Bullock"
Joel Schumacher,A Time to Kill,1996,,"$152,266,007",Warner Bros,Drama,"$108,766,007","$43,500,000",71%,29%,"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson"
Joel Silberg,Breakin',1984,,"$38,682,707",,Drama,"$38,682,707",-,100%,-,"Lucinda Dickey, Adolfo Quinones, Michael Chambers"
Joel Zwick,Fat Albert,2004,,"$48,551,322",Twentieth Century Fox,Comedy,"$48,116,322","$435,000",99.10%,1%,"Kenan Thompson, Kyla Pratt, Omarion Grandberry"
Joel Zwick,Fat Albert,2004,,"$48,551,322",Twentieth Century Fox,Family,"$48,116,322","$435,000",99.10%,1%,"Kenan Thompson, Kyla Pratt, Omarion Grandberry"
John Berry,Boesman and Lena,2000,,"$32,625",Kino International,Drama,"$32,625",$0,100%,0%,"Danny Glover, Angela Bassett, Willie Jonah"
John G. Avildsen,Lean on Me,1989,,"$31,906,454",,Action,"$31,906,454",-,100%,-,"Morgan Freeman, Beverly Todd, Robert Guillaume"
John G. Avildsen,Lean on Me,1989,,"$31,906,454",,Drama,"$31,906,454",-,100%,-,"Morgan Freeman, Beverly Todd, Robert Guillaume"
John Landis,Beverly Hills Cop III,1994,,"$42,614,912",Paramount Pictures,Action,"$42,614,912",-,100%,0%,"Eddie Murphy, Jon Tenney, Joey Travolta"
John Landis,Trading Places,1983,,"$90,404,800",,Comedy,"$90,404,800",-,100%,-,"Eddie Murphy, Dan Aykroyd, Ralph Bellamy"
John Landis,Coming to America,1988,,"$288,752,301",,Comedy,"$128,152,301","160,600,00",44%,56%,"Eddie Murphy, Arsenio Hall, James Earl Jones"
John Landis,Beverly Hills Cop III,1994,,"$42,614,912",Paramount Pictures,Comedy,"$42,614,912",-,100%,0%,"Eddie Murphy, Jon Tenney, Joey Travolta"
John Landis,Coming to America,1988,,"$128,152,301",,Drama,"$128,152,301",-,100%,-,"Eddie Murphy, Arsenio Hall, James Earl Jones"
John Landis,Coming to America,1988,,"$128,152,301",,Romance,"$128,152,301",-,100%,-,"Eddie Murphy, Arsenio Hall, James Earl Jones"
John Singleton,Rosewood,1997,,"$13,130,349",Warner Bros,Action,"$13,130,349",$0,100%,0%,"Jon Voight, Ving Rhames, Don Cheadle"
John Singleton,Higher Learning,1995,,"$38,290,723",Sony Pictures Entertainment,Drama,"$38,290,723",$0,100%,0%,"Omar Epps, Kristy Swanson, Michael Rapaport"
John Singleton,Poetic Justice,1993,,"$27,515,786",,Romance,"$27,515,786",-,100%,0%,"Janet Jackson, Tupac Shakur, Regina King"
John Singleton,Higher Learning,1995,,"$38,290,723",Sony Pictures Entertainment,Romance,"$38,290,723",$0,100%,0%,"Omar Epps, Kristy Swanson, Michael Rapaport"
John Trengove,The Wound,2017,,"$213,043",Kino lorber,Drama,"$30,678","$182,365",14.40%,86%,"Nakhane Toure, Bongile Mantsai, Niza Jay, Thbani Msleni"
Jon Turteltaub,Cool Runnings,1993,,"$154,856,263",,Comedy,"$68,856,263","$86,000,000",45%,56%," John Candy, Leon, Doug E. Doug"
Jon Turteltaub,Cool Runnings,1993,,"$154,856,263",,Family,"$68,856,263","$86,000,000",45%,56%,"John Candy, Leon, Doug E. Doug"
Jonathan Baker,Kin,2018,,"$10,313,019",Lionsgate,Action,"$5,718,096","$4,594,923",55.40%,45%,"Myles Truitt, Jack Reynor, Dennis Quaid, Zoe Kravitz"
Jonathan Baker,Kin,2018,,"$10,313,019",Lionsgate,Drama,"$5,718,096","$4,594,923",55.40%,45%,"Myles Truitt, Jack Reynor, Dennis Quaid, Zoe Kravitz"
Jonathan Lynn,The Distinguished Gentleman,1992,,"$46,666,502",,Comedy,"$46,666,502",-,100%,0%,"Eddie Murphy, Lane Smith, Sheryl Lee Ralph"
Jordan Walker-Pearlman,Constellation,2005,,"$306,533",The Bigger Picture,Drama,"$306,533",$0,100%,0%,"Gabrielle Union, Billy Dee Williams, Zoe Saldana"
Joseph B. Vasquez,Hangin' with the Homeboys,1991,,"$532,933",,Comedy,"$532,933",-,100%,-,"Doug E. Doug, Mario Joyner, John Leguizamo"
Joseph B. Vasquez,Hangin' with the Homeboys,1991,,"$532,933",,Drama,"$532,933",-,100%,-,"Doug E. Doug, Mario Joyner, John Leguizamo"
Josephine Decker,Madeline's Madeline,2018,,,,Drama,,,,,"Helena Howard, Molly Parker, Miranda July "
Juan Carlos Piniero Escoriaza,Know How,2015,,"$3,323",First Run,Drama,"$3,323",$0,100%,0%,
