Director,Title,Year,Budget,Worldwide,Studio,Genre,Domestic,Foreign,Domestic %,Foreign%,Stars
Julia Hart,Fast Color,2019,,,,Drama,,,,,"Gugu Mbatha-Raw, Lorraine Toussaint,Saniyya Sidney, David Strathairn"
Julie Dash,Daughters of the Dust,1991,,"$1,642,436",,Drama,"$1,642,436",-,100%,-,"Cora Lee Day, Alva Rogers, Barbarao"
Julie Dash,Daughters of the Dust,1991,,"$1,689,723",,Romance,"$1,683,422","$6,301",100%,0%,"Cora Lee Day, Alva Rogers, Barbarao"
Julius Onah,Luce,2019,,"$2,268,204",Neon,Drama,"$2,010,613","$257,591",88.60%,11%,"Octavia Spencer, Naomi Watts, Kelvin Harrison Jr. Tim Roth"
Justin Simien,Dear White People,2014,,"$4,633,961",Roadside Attractions,Drama,"$4,404,154","$229,807",95%,5%,
Karey Kirkpatrick,Imagine That,2009,,"$22,985,194",Paramount Pictures,Comedy,"$16,123,323","$6,861,871",70.10%,30%,"Eddie Murphy, Thomas Haden Church, Yara Shahidi"
Karey Kirkpatrick,Imagine That,2009,,"$22,985,194",Paramount Pictures,Drama,"$16,123,323","$6,861,871",70.10%,30%,"Eddie Murphy, Thomas Haden Church, Yara Shahidi"
Kasi Lemmons,Eve's Bayou,1997,,"$14,842,388",Trimark Pictures,Drama,"$14,842,388",$0,100%,0%,"Samuel L. Jackson, Jurnee Smollett-Bell, Meagan Good"
Kasi Lemmons,Talk to Me,2007,,"$4,778,376",Focus Features,Drama,"$4,533,261","$245,115",94.90%,5%,"Don Cheadle, Chiwetel Ejiofor,  Taraji P. Henson"
Kevin Hooks,Strictly Business,1991,,"$7,683,267",,Comedy,"$7,683,267",-,100%,-,"Tommy Davidson, Joseph C. Phillips, Anne-Marie Johnson"
Kevin Hooks,Strictly Business,1991,,"$7,683,267",,Romance,"$7,683,267",-,100%,-,"Tommy Davidson, Joseph C. Phillips, Anne-Marie Johnson"
Kevin Rodney Sullivan,Guess Who,2005,,"$103,121,466",Sony Pictures Entertainment,Comedy,"$68,915,888","$34,205,578",66.80%,33%,"Ashton Kutcher, Bernie Mac, Zoe Saldana"
Kevin Rodney Sullivan,How Stella Got Her Groove Back,1998,,"$39,278,722",Twentieth Century Fox,Drama,"$37,672,941","$1,605,781",95.90%,4%,"Angela Bassett, Taye Diggs, Whoopi Goldberg"
Kevin Rodney Sullivan,Guess Who,2005,,"$103,121,466",Sony Pictures Entertainment,Romance,"$68,915,888","$34,205,578",66.80%,33%,"Ashton Kutcher, Bernie Mac, Zoe Saldana"
Lance Rivera,The Cookout,2004,,"$12,009,070",Lionsgate,Comedy,"$11,814,019","$195,051",98.40%,2%,"Quran Pender, Jenifer Lewis, Ja Rule"
Larry Cohen,Original Gangstas,1996,,"$3,718,087",Orion Pictures,Action,"$3,718,087",$0,100%,0%,"Fred Williamson, Jim Brown, Pam Grier"
Marcus Raboy,Friday After Next,2002,,"$33,526,835",New Line Cinema,Comedy,"$33,253,609","$273,226",99.20%,1%,"Ice Cube, Mike Epps, John Witherspoon"
Marcus Raboy,Friday After Next,2002,,"$33,526,835",New Line Cinema,Drama,"$33,253,609","$273,226",99.20%,1%,"Ice Cube, Mike Epps, John Witherspoon"
Mario Van Peebles,New Jack City,1991,,"$47,624,353",,Action,"$47,624,353",-,100%,-,"Wesley Snipes, Allen Payne, Ice-T"
Mario Van Peebles,Baadasssss!,2003,,"$365,727",Sony Pictures Entertainment,Drama,"$365,727",$0,100%,0%,"Mario Van Peebles, Nia Long, Joy Bryant"
Martin Brest,Beverly Hills Cop,1984,,"$234,760,478",Paramount Pictures,Action,"$234,760,478",-,100%,-,"Eddie Murphy, Judge Reinhold, John Ashton"
Martin Brest,Beverly Hills Cop,1984,,"$234,760,478",Paramount Pictures,Comedy,"$234,760,478",-,100%,-,"Eddie Murphy, Judge Reinhold, John Ashton"
Martin Lawrence,A Thin Line Between Love and Hate,1996,,"$35,599,803",New Line Cinema,Comedy,"$34,767,836","$831,967",98%,2%,"Martin Lawrence, Lynn Whitfield, Regina King"
Martin Stellman,For Queen & Country,1988,,"$191,051",Atlantic Releasing Corporation,Action,"$191,051",-,100.00%,,"Denzel Washington, Dorian Healy, Sean Chapman"
Mati Diop,Atlantics,2019,,"$407,933",,Drama,-,"$407,933",-,100%,"Mame Bineta Sane, Amadou Mbow, Traore"
Mati Diop,Atlantics,2019,,"$407,933",,Drama,-,"$407,933",-,100%,"Mame Bineta Sane, Amadou Mbow, Traore"
Matt Ruskin,Crown Heights,2017,,"$238,558",IFC Films,Drama,"$238,558",$0,100%,0%,"LaKeith Stanfield, Nnamdi Asomugha, Natalie Paul"
Matty Rich,Straight Out of Brooklyn,1991,,"$2,712,293",,Action,"$2,712,293",-,100%,-,"George T. Odom, Ann D. Sanders, Lawrence Gilliard jr. "
Matty Rich,The Inkwell,1994,,"$8,880,705",,Comedy,"$8,880,705",-,100%,-,"Larenz Tate, Joe Morton, Suzzanne Douglas"
Matty Rich,The Inkwell,1994,,"$8,880,705",,Romance,"$8,880,705",-,100%,-,"Larenz Tate, Joe Morton, Suzzanne Douglas"
Maurice Jamal,Dirty Laundry,2006,,"$20,138",Codeblack Entertainment,Comedy,"$20,138",$0,100%,0%,"Rockmond Dunbar, Loretta Devine, Jenifer Lewis"
Maurice Jamal,Dirty Laundry,2006,,"$20,138",Codeblack Entertainment,Drama,"$20,138",$0,100%,0%,"Rockmond Dunbar, Loretta Devine, Jenifer Lewis"
Maya Angelou,Down in the Delta,1998,,"$5,672,903",Miramax,Drama,"$5,672,903",$0,100%,0%,"Alfre Woodard, Al Freeman Jr., Esther Rolle"
Michael Apted,Critical Condition,1987,,"$20,240,502",,Comedy,"$20,240,502",-,100%,-,"Richard Pryor, Rachel Ticotin, Rub√©n Blades"
Michael Martin,I Got the Hook Up,1998,,"$10,317,779",Miramax,Comedy,"$10,317,779",$0,100%,0%,"Master P, Anthony Johnson, Gretchen Palmer"
Michael Pressman,Some Kind of Hero,1982,,"$23,671,186",,Comedy,"$23,671,186",-,100%,-,"Richard Pryor, Margot Kidder, Ray Sharkey"
Michael Ritchie,The Golden Child,1986,,"$79,817,937",,Action,"$79,817,937",-,100%,-,"Eddie Murphy, J.L. Reate, Charles Dance"
Michael Ritchie,The Golden Child,1986,,"$79,817,937",,Comedy,"$79,817,937",-,100%,-,"Eddie Murphy, J.L. Reate, Charles Dance"
Michael Roemer,Nothing But a Man,1964,,"$13,063",,Romance,"$13,063",-,100%,-,"Ivan Dixon, Abbey Lincoln, Julius Harris"
Michael Schultz,Livin' Large!,1991,,"$5,467,959",,Comedy,"$5,467,959",-,100%,-,"Terrence ‚ÄòT.C.‚Äô Carson, Lisa Arrindell Anderson, Blanche Baker"
Michael Schultz,Livin' Large!,1991,,"$5,467,959",,Drama,"$5,467,959",-,100%,-,"Terrence ‚ÄòT.C.‚Äô Carson, Lisa Arrindell Anderson, Blanche Baker"
Michael Tiddes,Fifty Shades of Black,2016,,"$22,227,514",Open Road Films,Comedy,"$11,686,940","$10,540,574",52.60%,47%," Marlon Wayans, Kali Hawk, Fred Willard "
Mick Jackson,The Bodyguard,1992,,"$411,006,740",,Romance,"$122,006,740","$289,000,000",30%,70%,"Kevin Costner, Whitney Houston, Gary Kemp"
Mike Binder,Blankman,1994,,"$7,941,977",Cloumbia Pictures,Comedy,"$7,941,977",-,100%,0%,"Damon Wayans, David Alan Grier, Robin Givens"
Mira Nair,Mississippi Masala,1991,,"$7,308,786",,Comedy,"$7,308,786",-,100%,-,"Denzel Washington, Sarita Choudhury, Roshan Seth"
Mira Nair,Mississippi Masala,1991,,"$7,308,786",,Romance,"$7,308,786",-,100%,-,"Denzel Washington, Sarita Choudhury, Roshan Seth"
Morgan Freeman,Bopha!,1993,,"$212,483",,Drama,"$212,483",-,100%,0%,"Danny Glover, Malcolm McDowell, Alfre Woodard"
Neema Barnette,Civil Brand,2002,,"$254,293",Lionsgate,Drama,"$254,293",$0,100%,0%,"LisaRaye, N‚ÄôBushe Wright, Mos Def"
Neil Drumming,Big Words,2013,,"$8,965",AFFRM,Comedy,"$8,965",$0,100%,0%,
Nick Castle,Tap,1989,,"$9,114,702",,Comedy,"$9,114,702",-,100%,-,"Gregory Hines, Suzzanne Douglas, Sammy Davis Jr."
Nick Castle,Major Payne,1995,,"$30,112,050",Universal Pictures,Comedy,"$29,412,050","$700,000",98%,2%,"Damon Wayans, Michael Ironside, Scott Bigalow"
Norman Jewison,Bogus,1996,,"$4,357,406",Warner Bros,Comedy,"$4,357,406",$0,100%,0%,"Whoopi Goldberg, G√©rard Depardieu, Haley Joel Osment"
Norman Jewison,A Soldier's Story,1984,,"$21,821,347",,Drama,"$21,821,347",-,100%,-,"Howard E. Rollins Jr., Adolph Caesar, Art Evans"
Norman Jewison,Bogus,1996,,"$4,357,406",Warner Bros,Family,"$4,357,406",$0,100%,0%,"Whoopi Goldberg, G√©rard Depardieu, Haley Joel Osment"
Olivier Nakache,Samba,2015,,"$39,178,695",Broad Green Pictures,Drama,"$151,530","$39,027,165",0.40%,100%,
Oz Scott,Bustin' Loose,1981,,"$31,261,269",,Comedy,"$31,261,269",-,100%,-,"Richard Pryor, Cicely Tyson, √Ångel Ram√≠rez"
Paris Barclay,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,,"$20,949,601",Miramax,Comedy,"$20,109,115","$840,486",96%,4%,"Shawn Wayans, Marlon Wayans, Keenen Ivory Wayans"
Paul Maslansky,Sugar Hill,1974,,"$18,225,518",,Action,"$18,225,518",-,100%,-,"Marki Bey, Robert Quarry, Don Pedro Colley"
Paul Schrader,Blue Collar,1978,,"$6,521,083",,Drama,"$6,521,083",-,100%,-,"Richard Pryor, Harvey Keitel, Yaphet Kotto"
Penny Marshall,The Preacher's Wife,1996,,"$48,102,795",Walt Disney Motion Pictures,Comedy,"$48,102,795",$0,100%,0%,"Denzel Washington, Whitney Houston, Courtney B. Vance"
Pete Docter,Soul,2020,,,,Family,,,,,"Jamie Foxx, Daveed Diggs, John Ratzenberger, Tina Fey"
Peter Cousens,Freedom,2014,,"$842,740",,Drama,-,"$842,740",-,100%,"Cuba Gooding Jr., Sharon Leal, David Rasche "
Peter MacDonald,Mo' Money,1992,,"$40,227,006",,Comedy,"$40,227,006",-,100%,-,"Damon Wayans, Stacey Dash, Marlon Wayans"
Peter MacDonald,Mo' Money,1992,,"$40,227,006",,Romance,"$40,227,006",-,100%,-,"Damon Wayans, Stacey Dash, Marlon Wayans"
Preston A. Whitmore II,The Walking Dead,1995,,"$6,014,341",Savoy Pictures,Action,"$6,014,341",$0,100%,0%,"Joe Morton, Allen Payne, Eddie Griffin"
Prince,Under the Cherry Moon,1986,,"$10,090,429",,Comedy,"$10,090,429",-,100%,-,"Prince, Jerome Benton, Kristin Scott Thomas"
Prince,Graffiti Bridge,1990,,"$4,562,778",,Drama,"$4,562,778",-,100%,-,"Prince, Morris Day, Ingrid Chavez"
Quintin Tarantino,Jackie Brown,1997,,"$39,673,807",Miramax,Action,"$39,673,162",$645,100%,0%,"Pam Grier, Samuel l. Jackson"
Randall Miller,Class Act,1992,,"$13,272,113",,Comedy,"$13,272,113",-,100%,-,"Christopher Reid, Christopher Martin, Andre Rosey Brown"
Randall Miller,The Sixth Man,1997,,"$14,772,788",Walt Disney Motion Pictures,Comedy,"$14,772,788",$0,100%,0%,"Marlon Wayans, Kadeem Hardison, David Paymer, Michael Michele"
Rawson Marshall Thurber,Central Intelligence,2016,,"$216,972,543",Warner Bros,Comedy,"$127,440,871","$89,531,672",58.70%,41%,"Dwayne Johnson, Kevin Hart, Danielle Nicolet, Amy Ryan"
Reginald Hudlin,House Party,1990,,"$26,385,627",,Comedy,"$26,385,627",-,100%,-,"Christopher Reid, Robin Harris, Christopher Martin"
Reginald Hudlin,The Great White Hype,1996,,"$8,008,255",Twentieth Century Fox,Comedy,"$8,008,255",$0,100%,0%,"Samuel L. Jackson, Jeff Goldblum, Damon Wayans"
Reginald Hudlin,House Party,1990,,"$26,385,627",,Romance,"$26,385,627",-,100%,-,"Christopher Reid, Robin Harris, Christopher Martin"
Reinaldo Marcus Green,Monsters and Men,2018,,,,Drama,,,,,"John David Washington,Chante Adams, Rob Morgan"
Richard Attenborough,Cry Freedom,1987,,"$5,899,797",,Drama,"$5,899,797",-,100%,-,"Denzel Washington, Kevin Kline, Josette Simon"
Richard Benjamin,Made in America,1993,,"$104,942,695",,Comedy,"$44,942,695","$60,000,000",43%,57%,"Whoopi Goldberg, Ted Danson, Will Smith"
Richard Donner,Lethal Weapon,1987,,"$120,207,127",Warner Bros,Action,"$65,207,127","$55,000,000",54%,46%,"Mel Gibson, Danny Glover, Gary Busey"
Richard Donner,Lethal Weapon 2,1989,,"$227,853,986",Warner Bros,Action,"$147,253,986","$80,600,000",65%,35%,"Mel Gibson, Danny Glover, Joe Pesci"
Richard Donner,Lethal Weapon 3,1992,,"$321,731,527",Warner Bros,Action,"$144,731,527","$177,000,000",45%,55%,"Mel Gibson, Danny Glover, Joe Pesci"
Richard Donner,The Toy,1982,,"$47,118,057",,Comedy,"$47,118,057",-,100%,-,"Richard Pryor, Jackie Gleason, Ned Beatty"
Richard Pearce,A Family Thing,1996,,"$10,125,417",MGM,Comedy,"$10,125,417",$0,100%,0%,"Robert Duvall, James Earl Jones, Michael Beach"
Richard Pearce,A Family Thing,1996,,"$10,125,417",MGM,Drama,"$10,125,417",$0,100%,0%,"Robert Duvall, James Earl Jones, Michael Beach"
Rick Famuyiwa,Our Family Wedding,2010,,"$21,409,028",Fox Searchlight Pictures,Comedy,"$20,255,281","$1,153,747",94.60%,5%,"America Ferrera, Forest Whitaker, Carlos Mencia"
Rick Famuyiwa,Our Family Wedding,2010,,"$21,409,028",Fox Searchlight Pictures,Romance,"$20,255,281","$1,153,747",94.60%,5%,"America Ferrera, Forest Whitaker, Carlos Mencia"
Rob Cohen,Alex Cross,2012,,"$34,618,867",Lionsgate,Action,"$25,888,412","$8,730,455",74.80%,25%,"Tyler Perry, Matthew Fox, Rachel Nichols"
Rob Hardy,Trois,2000,,"$1,161,843",Rainforest Films,Romance,"$1,161,843",$0,100%,0%,"Gary Dourdan, Gretchen Palmer, Kenya Moore"
Rob Reiner,Ghosts of Mississippi,1996,,"$13,323,144",Sony Pictures Entertainment,Drama,"$13,323,144",$0,100%,0%,"Alec Baldwin, James Woods, Whoopi Goldberg"
Robert Mulligan,Clara's Heart,1988,,"$5,194,491",,Drama,"$5,194,491",-,100%,-,Whoopi Goldberg
Robert Townsend,Hollywood Shuffle,1987,,"$5,228,617",,Comedy,"$5,228,617",-,100%,-,"Robert Townsend, Craigus R. Johnson, Helen Martin"
Robert Townsend,The Meteor Man,1993,,"$8,016,708",,Comedy,"$8,016,708",-,100%,0%,"Robert Townsend, Marla Gibbs, Eddie Griffin"
Robert Townsend,The Five Heartbeats,1991,,"$8,750,400",Twentieth Century Fox,Drama,"$8,750,400",-,100%,-,Cole Hauser
Robert Townsend,The Meteor Man,1993,,"$8,016,708",,Family,"$8,016,708",-,100%,0%,"Robert Townsend, Marla Gibbs, Eddie Griffin"
Rodney Evans,Brother to Brother,2004,,"$80,906",Wolfe Releasing,Drama,"$80,906",$0,100%,0%,"Anthony Mackie, Lawrence Gilliard Jr., Duane Boutte"
Roger Kumble,College Road Trip,2008,,"$51,549,674",Walt Disney Motion Pictures,Comedy,"$45,610,425","$5,939,249",88.50%,12%,"Raven-Symon√©, Martin Lawrence, Kym Whitley"
Roger Kumble,College Road Trip,2008,,"$51,549,674",Walt Disney Motion Pictures,Drama,"$45,610,425","$5,939,249",88.50%,12%,"Raven-Symon√©, Martin Lawrence, Kym Whitley"
Roger Kumble,College Road Trip,2008,,"$51,549,674",Walt Disney Motion Pictures,Family,"$45,610,425","$5,939,249",88.50%,12%,"Raven-Symon√©, Martin Lawrence, Kym Whitley"
Ron Shelton,White Men Can't Jump,1992,,"$90,753,806",,Comedy,"$76,253,806","$14,500,000",84%,16%,"Wesley Snipes, Woody Harrelson, Rosie Perez"
Russ Parr,35 and Ticking,2011,,"$113,794",Image Entertainment,Comedy,"$113,794",$0,100%,0%,"Tamala Jones, Nicole Ari Parker, Kevin Hart"
Russ Parr,35 and Ticking,2011,,"$113,794",Image Entertainment,Romance,"$113,794",$0,100%,0%,"Tamala Jones, Nicole Ari Parker, Kevin Hart"
Russell Mulcahy,Ricochet,1991,,"$21,756,163",,Action,"$21,756,163",-,100%,-,"Denzel Washington, John Lithgow, Ice-T"
Rusty Cundieff,Fear of a Black Hat,1993,,"$233,824",,Comedy,"$233,824",-,100%,0%,"Larry B. Scott, Mark Christopher Lawrence, Rusty Cundieff"
Rusty Cundieff,Sprung,1997,,"$7,575,028",Trimark Pictures,Comedy,"$7,575,028",$0,100%,0%,"Tisha Campbell-Martin, Rusty Cundieff, Paula Jai Parker"
Ryan Coogler,Black Panther,2018,,"$1,346,913,161",Walt Disney Motion Pictures,Action,"$700,059,566","$646,853,595",52%,48%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira"
Ryan Coogler,Fruitvale Station,2009,,"$17,385,830",The Weinstein Company,Drama,"$16,101,339","$1,284,491",92.60%,7%,"Michael B. Jordan, Melonie Diaz, Octavia Spencer"
Sanaa Hamri,Just Wright,2010,,"$21,584,424",Fox Searchlight Pictures,Comedy,"$21,540,363","$44,061",99.80%,0%,"Queen Latifah, Common, Paula Patton"
Sanaa Hamri,Just Wright,2010,,"$21,584,424",Fox Searchlight Pictures,Romance,"$21,540,363","$44,061",99.80%,0%,"Queen Latifah, Common, Paula Patton"
Scott Sanders,Black Dynamite,2009,,"$296,557",Apparition,Action,"$242,578","$53,979",81.80%,18%,"Arsenio Hall, Tommy Davidson, Michael Jai White"
Scott Sanders,Black Dynamite,2009,,"$296,557",Apparition,Comedy,"$242,578","$53,979",81.80%,18%,"Arsenio Hall, Tommy Davidson, Michael Jai White"
Sean Baker (II),Tangerine,2015,,,,Comedy,,,,,"itana Kiki Rodriguez, James Ransone, Mya Taylor, Alla Tumanian"
Sean Baker (II),Tangerine,2015,,,,Drama,,,,,"itana Kiki Rodriguez, James Ransone, Mya Taylor, Alla Tumanian"
Sheldon Candis,LUV,2012,,"$156,996",Indomina Media,Action,"$156,996",$0,100%,0%,"Common, Danny Glover, Dennis Haysbert"
Shola Amoo,The Last Tree,2019,,"$228,676",ArtMattan Productions,Drama,"$10,128","$218,548",4.40%,96%,
Sidney Lumet,The Wiz,1978,,"$21,049,053",,Drama,"$21,049,053",-,100%,-,"Michael Jackson, Diana Ross"
Sidney Lumet,The Wiz,1978,,"$21,049,053",,Family,"$21,049,053",-,100%,-,"Diana Ross, Michael Jackson, Nipsey Russell"
Sidney Poitier,Stir Crazy,1980,,"$101,300,000",,Comedy,"$101,300,000",-,100%,-,"Gene Wilder, Richard Pryor, Georg Stanford Brown"
Sidney Poitier,Ghost Dad,1990,,"$25,421,633",,Comedy,"$24,707,633","$714,001",197%,103%,"Bill Cosby, Kimberly Russell, Denise Nicholas"
Sidney Poitier,Ghost Dad,1990,,"$25,421,633",,Family,"$24,707,633","$714,000",97%,3%,"Bill Cosby, Kimberly Russell, Denise Nicholas"
Stan Lathan,Beat Street,1984,,"$16,595,791",,Drama,"$16,595,791",-,100%,-,"Rae Dawn Chong, Guy Davis, Jon Chardiet"
Stephan C Schaefer,My Last Day Without You,2011,,"$8,335",,Romance,-,"$8,335",-,100%,
Stephen Gyllenhaal,Losing Isaiah,1995,,"$7,603,766",Paramount Pictures,Drama,"$7,603,766",$0,100%,0%,"Jessica Lange, Halle Berry, David Strathairn"
Stephen Milburn Anderson,South Central,1992,,"$1,373,196",,Action,"$1,373,196",-,100%,0%,"Glenn Plummer, Byron Minns, Christian Coleman"
Stephen Norrington,Blade,1998,,"$131,183,530",New Line Cinema,Action,"$70,087,718","$61,095,812",53.40%,47%,"Wesley Snipes, Stephen Dorff, Kris Kristofferson"
Steve Carr,Are We Done Yet?,2007,,"$58,388,068",Revolution Studios,Comedy,"$49,662,533","$8,725,535",85.10%,15%,"Ice Cube, Nia Long, John C. McGinleyh"
Steve Carr,Are We Done Yet?,2007,,"$58,388,068",Revolution Studios,Drama,"$49,662,533","$8,725,535",85.10%,15%,"Ice Cube, Nia Long, John C. McGinley"
Steve Carr,Are We Done Yet?,2007,,"$58,388,068",Revolution Studios,Family,"$49,662,533","$8,725,535",85.10%,15%,"Ice Cube, Nia Long, John C. McGinley"
Steve James,Hoop Dreams,1994,,"$7,830,611",,Drama,"$7,830,611",-,100%,0%,"William Gates, Arthur Agee, Emma Gates"
Steve Rash,Eddie,1996,,"$31,387,164",Walt Disney Motion Pictures,Comedy,"$31,387,164",$0,100%,0%,"Whoopi Goldberg, Frank Langella, Dennis Farina"
Stuart Rosenberg,Brubaker,1980,,"$37,121,708",,Drama,"$37,121,708",-,100%,-,"Robert Redford, Yaphet Kotto, Morgan Freeman"
Tamra Davis,Half Baked,1998,,"$17,460,020",Universal Pictures,Comedy,"$17,460,020",,,,"Dave Chapelle, Guillermo Diaz, Jim Breuer, Harland Williams"
Tate Taylor,The Help,2011,,"$216,639,112",Walt Disney Motion Pictures,Drama,"$169,708,112","$46,931,000",78.30%,22%,"Emma Stone, Viola Davis, Octavia Spencer, "
Taylor Hackford,An Officer and a Gentleman,1982,,"$129,795,554",,Drama,"$129,795,554",-,100%,-,"Richard Gere, Debra Winger, David Keith"
Taylor Hackford,An Officer and a Gentleman,1982,,"$129,795,554",,Romance,"$129,795,554",-,100%,-,"Richard Gere, Debra Winger, David Keith"
Terry George,Hotel Rwanda,2004,,"$33,882,243",United Artists,Drama,"$23,530,892","$10,351,351",69.40%,31%,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix"
Theodore Witcher,Love Jones,1997,,"$12,782,749",New Line Cinema,Drama,"$12,479,335","$303,414",98%,2%,"Larenz Tate, Nia Long, Isaiah Washington"
Theodore Witcher,Love Jones,1997,,"$12,782,749",New Line Cinema,Romance,"$12,479,335","$303,414",98%,2%,"Larenz Tate, Nia Long, Isaiah Washington"
Tim Disney,American Violet,2008,,"$554,434",The Samuel Goldwyn Company,Drama,"$554,434",$0,100%,0%,"Nicole Beharie, Will Patton, Alfre Woodard"
Tim Story,Think Like a Man,2012,,"$96,070,507",Screen Gems,Comedy,"$91,547,205","$4,523,302",95.30%,5%,"Chris Brown, Gabrielle Union, Kevin Hart"
Tim Story,Ride Along,2014,,"$154,468,902",Universal Pictures,Comedy,"$134,938,200","$19,530,702",87.40%,13%,"Ice Cube, Kevin Hart, Tika Sumpter, John Leguizamo"
Tim Story,Ride Along 2,2016,,"$124,605,297",Universal Pictures,Comedy,"$91,221,830","$33,383,467",73.20%,27%,"Ice Cube, Kevin Hart, Tika Sumpter, Benjamin Bratt"
Todd Graff,Joyful Noise,2012,,"$31,158,113",Warner Bros,Comedy,"$30,932,113","$226,000",99.30%,1%,"Queen Latifah,Dolly Parton,ÔøΩKeke Palmer,ÔøΩJeremy Jordan, andÔøΩCourtney B. Vance"
Tom Shadyac,Brian Banks,2019,,"$4,376,819",Bleeker Street Media,Drama,"$4,376,819",$0,100%,0%,"Sherri Shepherd, Aldis Hodge, Greg Kinnear"
Tony Scott,Beverly Hills Cop II,1987,,"$153,665,036",Paramount Pictures,Action,"$153,665,036",-,100%,-,"Eddie Murphy, Judge Reinhold, Ronny Cox"
Tony Scott,Beverly Hills Cop II,1987,,"$153,665,036",Paramount Pictures,Comedy,"$153,665,036",-,100%,-,"Eddie Murphy, Judge Reinhold, Ronny Cox"
Trey Edward Shults,Waves,2019,,"$2,570,294",A24,drama,"$1,658,790","$911,504",64.50%,36%,"Kelvin harrison Jr., Lucas Hedges, Taylor Russell, Alexa Demie"
Trey Edward Shults,It Comes at Night,2017,,,,Horror,,,,,"Joel Edgerton, Riley Keough, Christopher Abbott, Carmen Ejogo"
Vanessa Middleton,30 Years to Life,2001,,"$103,540",Innovation Film Group,Comedy,"$103,540",$0,100%,0%,"Erika Alexander, Melissa De Sousa, Tracy Morgan"
Vanessa Middleton,30 Years to Life,2001,,"$103,540",Innovation Film Group,Drama,"$103,540",$0,100%,0%,"Erika Alexander, Melissa De Sousa, Tracy Morgan"
Vanessa Middleton,30 Years to Life,2001,,"$103,540",Innovation Film Group,Romance,"$103,540",$0,100%,0%,"Erika Alexander, Melissa De Sousa, Tracy Morgan"
Vondie Curtis-Hall,Gridlock'd,1997,,"$5,571,205",Gramercy Pictures,Comedy,"$5,571,205",$0,100%,0%,"Tupac Shakur, Tim Roth, Thandie Newton"
Walter Hill,48 Hrs.,1982,,"$78,868,508",,Action,"$78,868,508",-,100%,-,"Nick Nolte, Eddie Murphy, Annette O‚ÄôToole"
Walter Hill,Brewster's Millions,1985,,"$45,833,132",,Comedy,"$40,833,132","$5,000,000",89%,11%,"Richard Pryor, John Candy, Lonette McKee"
Wes Craven,Vampire in Brooklyn,1995,,"$19,751,736",Paramount Pictures,Comedy,"$19,751,736",$0,100%,0%,"Eddie Murphy, Angela Bassett, Allen Payne"
Wes Craven,Vampire in Brooklyn,1995,,"$19,751,736",Paramount Pictures,Romance,"$19,751,736",$0,100%,0%,"Eddie Murphy, Angela Bassett, Allen Payne"
Zeresenay Mehari,Difret,2014,,"$97,205",,Drama,"$49,667","$47,538",51.10%,49%,"Meron Getnet, Tzita Hagere, Abel Abebe"